,Unnamed: 0,Station Names,YEAR,Month,Max Temp,Min Temp,Rainfall,Relative Humidity,Wind Speed,Cloud Coverage,Bright Sunshine,Station Number,X_COR,Y_COR,LATITUDE,LONGITUDE,ALT,Period
297,297,Barisal,1986,5,36.8,23.7,181.0,83.0,0.7,3.7,8.3,41950,536809.8,510151.9,22.7,90.36,4,1986.05
362,362,Barisal,1986,6,36.0,25.9,254.0,87.0,1.3,5.7,4.9,41950,536809.8,510151.9,22.7,90.36,4,1986.06
427,427,Barisal,1986,7,35.5,25.2,381.0,91.0,0.8,6.4,3.9,41950,536809.8,510151.9,22.7,90.36,4,1986.07
492,492,Barisal,1986,8,35.2,26.0,252.0,87.0,0.8,5.9,5.0,41950,536809.8,510151.9,22.7,90.36,4,1986.08
557,557,Barisal,1986,9,35.0,24.8,526.0,92.0,0.6,6.1,3.4,41950,536809.8,510151.9,22.7,90.36,4,1986.09
622,622,Barisal,1986,10,33.0,22.7,135.0,88.0,0.2,3.3,7.6,41950,536809.8,510151.9,22.7,90.36,4,1986.1
687,687,Barisal,1986,11,33.5,19.3,274.0,88.0,0.2,2.7,7.3,41950,536809.8,510151.9,22.7,90.36,4,1986.11
752,752,Barisal,1986,12,29.5,14.3,1.0,88.0,0.1,1.4,8.1,41950,536809.8,510151.9,22.7,90.36,4,1986.12
38,38,Barisal,1987,1,29.2,12.0,4.0,84.0,0.3,0.6,8.6,41950,536809.8,510151.9,22.7,90.36,4,1987.01
103,103,Barisal,1987,2,33.3,14.8,3.0,80.0,0.2,1.4,8.1,41950,536809.8,510151.9,22.7,90.36,4,1987.02
168,168,Barisal,1987,3,37.2,19.9,8.0,77.0,0.9,2.9,8.0,41950,536809.8,510151.9,22.7,90.36,4,1987.03
233,233,Barisal,1987,4,37.5,23.7,150.0,82.0,1.5,4.2,7.7,41950,536809.8,510151.9,22.7,90.36,4,1987.04
298,298,Barisal,1987,5,36.6,24.6,96.0,82.0,0.9,3.7,8.4,41950,536809.8,510151.9,22.7,90.36,4,1987.05
363,363,Barisal,1987,6,39.6,26.6,275.0,85.0,1.5,5.7,5.1,41950,536809.8,510151.9,22.7,90.36,4,1987.06
428,428,Barisal,1987,7,33.8,25.4,568.0,94.0,0.9,7.0,1.8,41950,536809.8,510151.9,22.7,90.36,4,1987.07
493,493,Barisal,1987,8,34.0,25.4,683.0,90.0,0.9,6.4,3.6,41950,536809.8,510151.9,22.7,90.36,4,1987.08
558,558,Barisal,1987,9,34.0,26.0,302.0,89.0,0.6,6.0,4.0,41950,536809.8,510151.9,22.7,90.36,4,1987.09
623,623,Barisal,1987,10,34.2,23.7,93.0,86.0,0.1,2.1,8.5,41950,536809.8,510151.9,22.7,90.36,4,1987.1
688,688,Barisal,1987,11,32.5,19.6,37.0,84.0,0.2,2.7,7.1,41950,536809.8,510151.9,22.7,90.36,4,1987.11
753,753,Barisal,1987,12,29.0,14.1,0.0,83.0,0.1,1.3,8.3,41950,536809.8,510151.9,22.7,90.36,4,1987.12
39,39,Barisal,1988,1,28.0,12.1,0.0,81.0,0.2,0.5,8.3,41950,536809.8,510151.9,22.7,90.36,4,1988.01
104,104,Barisal,1988,2,31.0,15.6,22.0,79.0,0.3,1.6,7.9,41950,536809.8,510151.9,22.7,90.36,4,1988.02
169,169,Barisal,1988,3,35.2,21.1,65.0,77.0,0.7,3.0,8.2,41950,536809.8,510151.9,22.7,90.36,4,1988.03
234,234,Barisal,1988,4,37.0,24.3,96.0,79.0,1.1,4.0,8.0,41950,536809.8,510151.9,22.7,90.36,4,1988.04
299,299,Barisal,1988,5,34.5,25.5,393.0,84.0,1.4,5.6,6.2,41950,536809.8,510151.9,22.7,90.36,4,1988.05
364,364,Barisal,1988,6,34.6,25.4,565.0,88.0,1.2,6.0,3.8,41950,536809.8,510151.9,22.7,90.36,4,1988.06
429,429,Barisal,1988,7,33.5,25.9,422.0,90.0,1.3,6.5,4.0,41950,536809.8,510151.9,22.7,90.36,4,1988.07
494,494,Barisal,1988,8,32.4,26.2,459.0,91.0,1.3,7.1,2.8,41950,536809.8,510151.9,22.7,90.36,4,1988.08
559,559,Barisal,1988,9,35.0,25.9,228.0,88.0,0.5,5.7,6.1,41950,536809.8,510151.9,22.7,90.36,4,1988.09
624,624,Barisal,1988,10,33.5,23.5,101.0,87.0,0.3,3.2,7.4,41950,536809.8,510151.9,22.7,90.36,4,1988.1
689,689,Barisal,1988,11,31.5,18.9,113.0,86.0,0.6,2.5,7.6,41950,536809.8,510151.9,22.7,90.36,4,1988.11
754,754,Barisal,1988,12,29.4,15.5,0.0,84.0,0.2,0.7,8.1,41950,536809.8,510151.9,22.7,90.36,4,1988.12
40,40,Barisal,1989,1,27.1,10.2,0.0,79.0,0.3,0.3,8.3,41950,536809.8,510151.9,22.7,90.36,4,1989.01
105,105,Barisal,1989,2,31.6,15.7,14.0,75.0,0.6,0.9,8.8,41950,536809.8,510151.9,22.7,90.36,4,1989.02
170,170,Barisal,1989,3,36.2,19.9,1.0,70.0,0.7,2.0,8.8,41950,536809.8,510151.9,22.7,90.36,4,1989.03
235,235,Barisal,1989,4,35.5,24.7,89.0,80.0,2.2,3.7,9.0,41950,536809.8,510151.9,22.7,90.36,4,1989.04
300,300,Barisal,1989,5,35.5,26.0,164.0,84.0,1.7,4.6,7.8,41950,536809.8,510151.9,22.7,90.36,4,1989.05
365,365,Barisal,1989,6,34.5,25.7,206.0,87.0,1.3,6.0,5.5,41950,536809.8,510151.9,22.7,90.36,4,1989.06
430,430,Barisal,1989,7,33.6,25.4,453.0,89.0,1.3,6.3,4.9,41950,536809.8,510151.9,22.7,90.36,4,1989.07
495,495,Barisal,1989,8,32.7,25.4,203.0,88.0,1.0,5.7,4.3,41950,536809.8,510151.9,22.7,90.36,4,1989.08
560,560,Barisal,1989,9,33.0,25.1,413.0,90.0,0.6,5.7,4.9,41950,536809.8,510151.9,22.7,90.36,4,1989.09
625,625,Barisal,1989,10,34.2,24.1,451.0,90.0,0.3,4.4,4.8,41950,536809.8,510151.9,22.7,90.36,4,1989.1
690,690,Barisal,1989,11,32.0,17.8,0.0,84.0,0.1,1.1,8.5,41950,536809.8,510151.9,22.7,90.36,4,1989.11
755,755,Barisal,1989,12,28.5,12.3,0.0,81.0,0.3,0.6,8.3,41950,536809.8,510151.9,22.7,90.36,4,1989.12
41,41,Barisal,1990,1,29.9,12.5,0.0,83.0,0.3,0.5,7.1,41950,536809.8,510151.9,22.7,90.36,4,1990.01
106,106,Barisal,1990,2,31.7,17.4,79.0,81.0,0.4,3.2,7.2,41950,536809.8,510151.9,22.7,90.36,4,1990.02
171,171,Barisal,1990,3,33.6,19.0,182.0,82.0,0.7,4.0,8.1,41950,536809.8,510151.9,22.7,90.36,4,1990.03
236,236,Barisal,1990,4,34.6,22.9,139.0,82.0,1.9,4.8,8.4,41950,536809.8,510151.9,22.7,90.36,4,1990.04
301,301,Barisal,1990,5,35.0,24.3,352.0,85.0,0.7,5.3,6.6,41950,536809.8,510151.9,22.7,90.36,4,1990.05
366,366,Barisal,1990,6,39.4,25.4,386.0,89.0,1.4,6.4,3.4,41950,536809.8,510151.9,22.7,90.36,4,1990.06
431,431,Barisal,1990,7,32.5,25.4,457.0,92.0,1.0,6.9,2.9,41950,536809.8,510151.9,22.7,90.36,4,1990.07
496,496,Barisal,1990,8,34.0,25.6,299.0,87.0,1.0,5.6,6.0,41950,536809.8,510151.9,22.7,90.36,4,1990.08
561,561,Barisal,1990,9,34.0,25.2,190.0,89.0,0.8,5.7,5.4,41950,536809.8,510151.9,22.7,90.36,4,1990.09
626,626,Barisal,1990,10,33.6,22.6,194.0,86.0,0.5,4.0,6.2,41950,536809.8,510151.9,22.7,90.36,4,1990.1
691,691,Barisal,1990,11,33.0,20.1,70.0,85.0,0.2,2.9,6.7,41950,536809.8,510151.9,22.7,90.36,4,1990.11
756,756,Barisal,1990,12,29.2,13.9,30.0,82.0,0.2,1.5,7.2,41950,536809.8,510151.9,22.7,90.36,4,1990.12
42,42,Barisal,1991,1,28.6,12.1,10.0,82.0,0.2,1.6,6.8,41950,536809.8,510151.9,22.7,90.36,4,1991.01
107,107,Barisal,1991,2,33.2,16.5,14.0,80.0,0.5,1.0,8.1,41950,536809.8,510151.9,22.7,90.36,4,1991.02
172,172,Barisal,1991,3,36.2,21.8,38.0,78.0,0.6,1.9,8.9,41950,536809.8,510151.9,22.7,90.36,4,1991.03
237,237,Barisal,1991,4,36.0,24.3,53.0,79.0,1.5,4.2,7.9,41950,536809.8,510151.9,22.7,90.36,4,1991.04
302,302,Barisal,1991,5,33.5,24.5,191.0,86.0,2.5,6.1,5.8,41950,536809.8,510151.9,22.7,90.36,4,1991.05
367,367,Barisal,1991,6,34.4,25.1,562.0,90.0,1.3,6.6,3.0,41950,536809.8,510151.9,22.7,90.36,4,1991.06
432,432,Barisal,1991,7,33.3,25.7,356.0,88.0,1.5,6.5,3.9,41950,536809.8,510151.9,22.7,90.36,4,1991.07
497,497,Barisal,1991,8,35.5,25.3,369.0,89.0,1.2,6.7,4.2,41950,536809.8,510151.9,22.7,90.36,4,1991.08
562,562,Barisal,1991,9,33.5,25.0,232.0,90.0,0.6,6.4,3.4,41950,536809.8,510151.9,22.7,90.36,4,1991.09
627,627,Barisal,1991,10,33.5,23.7,497.0,89.0,0.5,4.5,5.5,41950,536809.8,510151.9,22.7,90.36,4,1991.1
692,692,Barisal,1991,11,30.5,17.9,54.0,82.0,0.2,2.2,6.8,41950,536809.8,510151.9,22.7,90.36,4,1991.11
757,757,Barisal,1991,12,29.4,13.4,16.0,82.0,0.2,1.8,6.8,41950,536809.8,510151.9,22.7,90.36,4,1991.12
43,43,Barisal,1992,1,28.0,11.6,4.0,81.0,0.2,0.6,7.0,41950,536809.8,510151.9,22.7,90.36,4,1992.01
108,108,Barisal,1992,2,29.5,15.3,98.0,82.0,0.6,2.0,7.3,41950,536809.8,510151.9,22.7,90.36,4,1992.02
173,173,Barisal,1992,3,36.0,22.2,0.0,77.0,1.3,2.2,7.9,41950,536809.8,510151.9,22.7,90.36,4,1992.03
238,238,Barisal,1992,4,37.8,25.3,1.0,79.0,1.9,2.9,8.4,41950,536809.8,510151.9,22.7,90.36,4,1992.04
303,303,Barisal,1992,5,35.5,23.9,205.0,83.0,1.3,4.1,7.2,41950,536809.8,510151.9,22.7,90.36,4,1992.05
368,368,Barisal,1992,6,35.0,25.9,190.0,88.0,1.2,5.5,5.0,41950,536809.8,510151.9,22.7,90.36,4,1992.06
433,433,Barisal,1992,7,35.5,25.5,299.0,90.0,1.3,6.9,2.6,41950,536809.8,510151.9,22.7,90.36,4,1992.07
498,498,Barisal,1992,8,34.3,25.3,326.0,91.0,1.2,6.1,4.6,41950,536809.8,510151.9,22.7,90.36,4,1992.08
563,563,Barisal,1992,9,34.8,25.4,210.0,88.0,0.8,4.7,5.5,41950,536809.8,510151.9,22.7,90.36,4,1992.09
628,628,Barisal,1992,10,34.0,23.6,98.0,88.0,0.4,3.2,7.3,41950,536809.8,510151.9,22.7,90.36,4,1992.1
693,693,Barisal,1992,11,32.5,18.8,8.0,83.0,0.1,3.2,6.4,41950,536809.8,510151.9,22.7,90.36,4,1992.11
758,758,Barisal,1992,12,28.0,12.2,0.0,82.0,0.3,0.5,7.5,41950,536809.8,510151.9,22.7,90.36,4,1992.12
44,44,Barisal,1993,1,28.5,11.6,1.0,83.0,0.2,0.8,6.8,41950,536809.8,510151.9,22.7,90.36,4,1993.01
109,109,Barisal,1993,2,31.6,16.3,35.0,83.0,0.7,1.2,8.1,41950,536809.8,510151.9,22.7,90.36,4,1993.02
174,174,Barisal,1993,3,35.5,18.4,173.0,77.0,0.8,2.0,7.9,41950,536809.8,510151.9,22.7,90.36,4,1993.03
239,239,Barisal,1993,4,36.0,22.6,216.0,83.0,1.2,3.9,8.8,41950,536809.8,510151.9,22.7,90.36,4,1993.04
304,304,Barisal,1993,5,34.5,23.8,352.0,87.0,1.6,5.2,6.9,41950,536809.8,510151.9,22.7,90.36,4,1993.05
369,369,Barisal,1993,6,34.4,25.5,384.0,89.0,2.1,6.1,4.9,41950,536809.8,510151.9,22.7,90.36,4,1993.06
434,434,Barisal,1993,7,33.2,25.5,408.0,90.0,2.1,6.4,3.9,41950,536809.8,510151.9,22.7,90.36,4,1993.07
499,499,Barisal,1993,8,33.8,25.7,556.0,91.0,1.5,6.6,3.5,41950,536809.8,510151.9,22.7,90.36,4,1993.08
564,564,Barisal,1993,9,34.6,25.0,245.0,89.0,0.9,5.9,4.1,41950,536809.8,510151.9,22.7,90.36,4,1993.09
629,629,Barisal,1993,10,33.5,23.9,134.0,87.0,0.3,3.5,6.6,41950,536809.8,510151.9,22.7,90.36,4,1993.1
694,694,Barisal,1993,11,31.2,18.9,12.0,86.0,0.1,1.3,7.9,41950,536809.8,510151.9,22.7,90.36,4,1993.11
759,759,Barisal,1993,12,29.5,13.8,0.0,81.0,0.2,1.3,7.6,41950,536809.8,510151.9,22.7,90.36,4,1993.12
45,45,Barisal,1994,1,29.6,12.2,4.0,71.0,0.4,0.4,7.7,41950,536809.8,510151.9,22.7,90.36,4,1994.01
110,110,Barisal,1994,2,31.0,14.6,13.0,72.0,0.4,1.4,7.8,41950,536809.8,510151.9,22.7,90.36,4,1994.02
175,175,Barisal,1994,3,34.8,21.3,92.0,73.0,1.3,2.5,8.1,41950,536809.8,510151.9,22.7,90.36,4,1994.03
240,240,Barisal,1994,4,36.5,23.1,101.0,77.0,0.8,3.5,8.0,41950,536809.8,510151.9,22.7,90.36,4,1994.04
305,305,Barisal,1994,5,36.2,25.1,178.0,83.0,1.0,4.2,7.5,41950,536809.8,510151.9,22.7,90.36,4,1994.05
370,370,Barisal,1994,6,35.5,25.5,571.0,89.0,1.2,6.4,3.3,41950,536809.8,510151.9,22.7,90.36,4,1994.06
435,435,Barisal,1994,7,33.2,25.7,202.0,88.0,1.3,6.4,4.2,41950,536809.8,510151.9,22.7,90.36,4,1994.07
500,500,Barisal,1994,8,33.0,25.4,378.0,88.0,1.1,6.4,4.2,41950,536809.8,510151.9,22.7,90.36,4,1994.08
565,565,Barisal,1994,9,34.4,24.7,144.0,83.0,0.8,4.5,6.4,41950,536809.8,510151.9,22.7,90.36,4,1994.09
630,630,Barisal,1994,10,34.0,23.3,87.0,80.0,0.1,2.9,7.0,41950,536809.8,510151.9,22.7,90.36,4,1994.1
695,695,Barisal,1994,11,32.4,18.6,7.0,78.0,0.2,2.8,6.6,41950,536809.8,510151.9,22.7,90.36,4,1994.11
760,760,Barisal,1994,12,30.1,12.0,0.0,76.0,0.2,0.5,7.8,41950,536809.8,510151.9,22.7,90.36,4,1994.12
46,46,Barisal,1995,1,29.0,10.7,1.0,73.0,0.4,1.7,6.8,41950,536809.8,510151.9,22.7,90.36,4,1995.01
111,111,Barisal,1995,2,31.0,15.0,62.0,73.0,0.3,2.1,7.0,41950,536809.8,510151.9,22.7,90.36,4,1995.02
176,176,Barisal,1995,3,36.7,19.2,6.0,68.0,0.5,1.3,8.7,41950,536809.8,510151.9,22.7,90.36,4,1995.03
241,241,Barisal,1995,4,38.2,24.6,12.0,75.0,1.2,2.7,9.1,41950,536809.8,510151.9,22.7,90.36,4,1995.04
306,306,Barisal,1995,5,36.7,26.5,144.0,84.0,1.6,5.2,6.0,41950,536809.8,510151.9,22.7,90.36,4,1995.05
371,371,Barisal,1995,6,34.6,25.6,657.0,88.0,1.1,6.0,3.2,41950,536809.8,510151.9,22.7,90.36,4,1995.06
436,436,Barisal,1995,7,34.0,25.1,517.0,88.0,1.4,6.7,3.4,41950,536809.8,510151.9,22.7,90.36,4,1995.07
501,501,Barisal,1995,8,34.7,25.5,342.0,87.0,1.2,6.0,5.3,41950,536809.8,510151.9,22.7,90.36,4,1995.08
566,566,Barisal,1995,9,34.7,25.1,208.0,87.0,0.8,6.1,3.5,41950,536809.8,510151.9,22.7,90.36,4,1995.09
631,631,Barisal,1995,10,34.0,23.9,156.0,84.0,0.1,3.5,6.6,41950,536809.8,510151.9,22.7,90.36,4,1995.1
696,696,Barisal,1995,11,33.2,19.5,153.0,81.0,0.4,3.1,6.4,41950,536809.8,510151.9,22.7,90.36,4,1995.11
761,761,Barisal,1995,12,29.5,13.2,0.0,71.0,0.1,0.2,7.3,41950,536809.8,510151.9,22.7,90.36,4,1995.12
47,47,Barisal,1996,1,29.4,12.4,0.0,80.0,0.2,0.5,8.2,41950,536809.8,510151.9,22.7,90.36,4,1996.01
112,112,Barisal,1996,2,31.5,15.0,20.0,76.0,0.4,1.6,8.7,41950,536809.8,510151.9,22.7,90.36,4,1996.02
177,177,Barisal,1996,3,35.2,22.3,12.0,77.0,1.2,2.7,8.0,41950,536809.8,510151.9,22.7,90.36,4,1996.03
242,242,Barisal,1996,4,36.6,23.5,131.0,82.0,1.2,3.5,7.5,41950,536809.8,510151.9,22.7,90.36,4,1996.04
307,307,Barisal,1996,5,36.6,25.3,94.0,84.0,2.3,4.7,7.5,41950,536809.8,510151.9,22.7,90.36,4,1996.05
372,372,Barisal,1996,6,35.5,25.2,449.0,87.0,1.8,5.4,4.8,41950,536809.8,510151.9,22.7,90.36,4,1996.06
437,437,Barisal,1996,7,35.0,25.7,307.0,88.0,1.6,5.9,3.3,41950,536809.8,510151.9,22.7,90.36,4,1996.07
502,502,Barisal,1996,8,34.4,25.3,322.0,91.0,1.0,6.0,2.6,41950,536809.8,510151.9,22.7,90.36,4,1996.08
567,567,Barisal,1996,9,37.8,25.3,202.0,88.0,0.3,5.3,4.4,41950,536809.8,510151.9,22.7,90.36,4,1996.09
632,632,Barisal,1996,10,35.4,23.0,270.0,86.0,0.5,3.1,7.6,41950,536809.8,510151.9,22.7,90.36,4,1996.1
697,697,Barisal,1996,11,33.6,18.3,4.0,84.0,0.1,1.4,8.3,41950,536809.8,510151.9,22.7,90.36,4,1996.11
762,762,Barisal,1996,12,30.2,13.4,1.0,81.0,0.1,1.6,6.2,41950,536809.8,510151.9,22.7,90.36,4,1996.12
48,48,Barisal,1997,1,28.2,10.7,1.0,79.0,0.3,1.1,7.5,41950,536809.8,510151.9,22.7,90.36,4,1997.01
113,113,Barisal,1997,2,31.4,14.6,30.0,79.0,0.5,1.5,8.1,41950,536809.8,510151.9,22.7,90.36,4,1997.02
178,178,Barisal,1997,3,35.0,21.1,79.0,81.0,0.9,3.1,7.6,41950,536809.8,510151.9,22.7,90.36,4,1997.03
243,243,Barisal,1997,4,35.2,20.7,203.0,84.0,1.1,4.6,7.4,41950,536809.8,510151.9,22.7,90.36,4,1997.04
308,308,Barisal,1997,5,35.6,24.2,235.0,84.0,1.6,5.3,7.1,41950,536809.8,510151.9,22.7,90.36,4,1997.05
373,373,Barisal,1997,6,35.4,25.3,205.0,86.0,2.1,6.4,4.6,41950,536809.8,510151.9,22.7,90.36,4,1997.06
438,438,Barisal,1997,7,33.7,25.4,406.0,91.0,1.6,6.9,3.1,41950,536809.8,510151.9,22.7,90.36,4,1997.07
503,503,Barisal,1997,8,35.6,25.8,191.0,89.0,1.4,6.4,4.4,41950,536809.8,510151.9,22.7,90.36,4,1997.08
568,568,Barisal,1997,9,34.0,24.6,378.0,91.0,0.7,6.1,4.1,41950,536809.8,510151.9,22.7,90.36,4,1997.09
633,633,Barisal,1997,10,34.6,22.0,7.0,84.0,0.1,2.1,8.5,41950,536809.8,510151.9,22.7,90.36,4,1997.1
698,698,Barisal,1997,11,33.6,18.9,11.0,85.0,0.2,2.0,7.3,41950,536809.8,510151.9,22.7,90.36,4,1997.11
763,763,Barisal,1997,12,29.6,13.4,12.0,89.0,0.4,2.1,4.2,41950,536809.8,510151.9,22.7,90.36,4,1997.12
49,49,Barisal,1998,1,29.0,11.8,148.0,88.0,0.7,2.4,5.5,41950,536809.8,510151.9,22.7,90.36,4,1998.01
114,114,Barisal,1998,2,31.5,15.4,54.0,79.0,0.5,2.0,7.2,41950,536809.8,510151.9,22.7,90.36,4,1998.02
179,179,Barisal,1998,3,34.5,17.9,273.0,75.0,0.9,2.6,8.1,41950,536809.8,510151.9,22.7,90.36,4,1998.03
244,244,Barisal,1998,4,35.6,22.5,251.0,81.0,1.4,3.8,8.1,41950,536809.8,510151.9,22.7,90.36,4,1998.04
309,309,Barisal,1998,5,36.5,24.5,179.0,84.0,1.4,5.2,4.7,41950,536809.8,510151.9,22.7,90.36,4,1998.05
374,374,Barisal,1998,6,35.5,25.8,208.0,86.0,2.3,5.7,3.1,41950,536809.8,510151.9,22.7,90.36,4,1998.06
439,439,Barisal,1998,7,34.5,25.1,616.0,92.0,1.7,6.8,1.9,41950,536809.8,510151.9,22.7,90.36,4,1998.07
504,504,Barisal,1998,8,34.5,25.2,516.0,91.0,1.1,6.3,2.8,41950,536809.8,510151.9,22.7,90.36,4,1998.08
569,569,Barisal,1998,9,35.6,25.2,254.0,89.0,0.6,5.5,4.1,41950,536809.8,510151.9,22.7,90.36,4,1998.09
634,634,Barisal,1998,10,35.6,24.8,89.0,87.0,0.4,3.7,6.1,41950,536809.8,510151.9,22.7,90.36,4,1998.1
699,699,Barisal,1998,11,33.5,20.9,270.0,85.0,0.3,2.5,7.5,41950,536809.8,510151.9,22.7,90.36,4,1998.11
764,764,Barisal,1998,12,31.5,14.5,0.0,83.0,0.2,0.3,8.7,41950,536809.8,510151.9,22.7,90.36,4,1998.12
50,50,Barisal,1999,1,30.0,12.1,0.0,82.0,0.5,0.4,8.2,41950,536809.8,510151.9,22.7,90.36,4,1999.01
115,115,Barisal,1999,2,34.8,15.1,0.0,78.0,0.7,1.1,7.8,41950,536809.8,510151.9,22.7,90.36,4,1999.02
180,180,Barisal,1999,3,38.0,20.5,0.0,74.0,1.1,1.8,5.9,41950,536809.8,510151.9,22.7,90.36,4,1999.03
245,245,Barisal,1999,4,36.6,24.9,20.0,79.0,1.9,3.4,7.6,41950,536809.8,510151.9,22.7,90.36,4,1999.04
310,310,Barisal,1999,5,35.7,25.0,212.0,86.0,2.2,5.7,3.8,41950,536809.8,510151.9,22.7,90.36,4,1999.05
375,375,Barisal,1999,6,36.7,25.4,260.0,88.0,1.9,6.6,3.1,41950,536809.8,510151.9,22.7,90.36,4,1999.06
440,440,Barisal,1999,7,34.0,25.1,527.0,91.0,1.6,7.0,2.9,41950,536809.8,510151.9,22.7,90.36,4,1999.07
505,505,Barisal,1999,8,34.0,25.4,404.0,91.0,1.4,7.1,2.6,41950,536809.8,510151.9,22.7,90.36,4,1999.08
570,570,Barisal,1999,9,35.5,25.2,301.0,89.0,1.0,6.6,3.7,41950,536809.8,510151.9,22.7,90.36,4,1999.09
635,635,Barisal,1999,10,34.0,24.1,228.0,89.0,0.6,5.3,4.9,41950,536809.8,510151.9,22.7,90.36,4,1999.1
700,700,Barisal,1999,11,33.5,18.8,1.0,82.0,0.1,1.2,8.7,41950,536809.8,510151.9,22.7,90.36,4,1999.11
765,765,Barisal,1999,12,29.8,13.9,2.0,82.0,0.1,0.8,8.1,41950,536809.8,510151.9,22.7,90.36,4,1999.12
51,51,Barisal,2000,1,30.0,12.4,0.0,81.0,0.4,0.9,7.9,41950,536809.8,510151.9,22.7,90.36,4,2000.01
